2026-03-23 22:08:26 WARNING  [static_analyzer:31] Unsupported programming language: JSON. Skipping.
2026-03-23 22:08:28 WARNING  [static_analyzer.typescript_config_scanner:50] No TypeScript configuration files found in C:\Users\Hp ETC\graduation Project
2026-03-23 22:08:28 INFO     [static_analyzer:57] No TypeScript config files found, using repository root
2026-03-23 22:08:30 WARNING  [static_analyzer.typescript_config_scanner:50] No TypeScript configuration files found in C:\Users\Hp ETC\graduation Project
2026-03-23 22:08:30 INFO     [static_analyzer:57] No TypeScript config files found, using repository root
2026-03-23 22:08:30 INFO     [static_analyzer:141] Starting LSP client for JavaScript
2026-03-23 22:08:30 INFO     [static_analyzer.lsp_client.typescript_client:44] node_modules found at: C:\Users\Hp ETC\graduation Project\node_modules
2026-03-23 22:08:30 INFO     [static_analyzer.lsp_client.client:139] Starting server C:\Users\Hp ETC\AppData\Local\Programs\Qoder\Qoder.exe C:\Users\Hp ETC\.codeboarding\servers\node_modules\typescript-language-server\lib\cli.mjs --stdio --log-level=2...
2026-03-23 22:08:30 INFO     [static_analyzer.lsp_client.typescript_client:57] Initializing connection for javascript...
2026-03-23 22:08:31 INFO     [static_analyzer.lsp_client.typescript_client:88] Initialization successful.
2026-03-23 22:08:40 INFO     [static_analyzer.lsp_client.typescript_client:115] Found 39 TypeScript/JavaScript files
2026-03-23 22:08:40 INFO     [static_analyzer.lsp_client.typescript_client:167] Opening sample files to bootstrap TypeScript project...
2026-03-23 22:08:40 INFO     [static_analyzer.lsp_client.typescript_client:186] Waiting 8s for TypeScript server to initialize project...
2026-03-23 22:08:48 INFO     [static_analyzer.lsp_client.typescript_client:191] TypeScript project successfully loaded!
2026-03-23 22:08:48 INFO     [static_analyzer.lsp_client.client:460] Sending workspace configuration for javascript...
2026-03-23 22:08:48 INFO     [static_analyzer.lsp_client.client:468] Workspace configuration sent for javascript
2026-03-23 22:08:48 INFO     [static_analyzer:141] Starting LSP client for TypeScript
2026-03-23 22:08:48 INFO     [static_analyzer.lsp_client.typescript_client:44] node_modules found at: C:\Users\Hp ETC\graduation Project\node_modules
2026-03-23 22:08:48 INFO     [static_analyzer.lsp_client.client:139] Starting server C:\Users\Hp ETC\AppData\Local\Programs\Qoder\Qoder.exe C:\Users\Hp ETC\.codeboarding\servers\node_modules\typescript-language-server\lib\cli.mjs --stdio --log-level=2...
2026-03-23 22:08:48 INFO     [static_analyzer.lsp_client.typescript_client:57] Initializing connection for typescript...
2026-03-23 22:08:49 INFO     [static_analyzer.lsp_client.typescript_client:88] Initialization successful.
2026-03-23 22:08:55 INFO     [static_analyzer.lsp_client.typescript_client:115] Found 39 TypeScript/JavaScript files
2026-03-23 22:08:55 INFO     [static_analyzer.lsp_client.typescript_client:167] Opening sample files to bootstrap TypeScript project...
2026-03-23 22:08:55 INFO     [static_analyzer.lsp_client.typescript_client:186] Waiting 8s for TypeScript server to initialize project...
2026-03-23 22:09:03 INFO     [static_analyzer.lsp_client.typescript_client:191] TypeScript project successfully loaded!
2026-03-23 22:09:03 INFO     [static_analyzer.lsp_client.client:460] Sending workspace configuration for typescript...
2026-03-23 22:09:03 INFO     [static_analyzer.lsp_client.client:468] Workspace configuration sent for typescript
2026-03-23 22:09:03 INFO     [codeboarding_pro.session:108] Session 4102c78c-98c3-4b42-a2fa-1247cc3ed9b6 initialized: repo=c:\Users\Hp ETC\graduation Project, project=graduation Project, output=c:\Users\Hp ETC\graduation Project\.codeboarding
